rank,score,vendor,slug,model,u_height,category,image_coverage,netbox_path,rationale
"15","41","Cisco","cisco-c1000-48t-4g-l","Catalyst 1000-48T-4G-L","1","network","both","device-types/Cisco/C1000-48T-4G-L.yaml","network, front+rear image, 1U footprint"
"16","41","Arista","arista-dcs-7020sr-24c2-f","DCS-7020SR-24C2-F","1","network","both","device-types/Arista/DCS-7020SR-24C2-F.yaml","network, front+rear image, 1U footprint"
"17","30","SonicWall","sonicwall-nsa-220","NSa 220","1","network","none","device-types/SonicWall/NSa220.yaml","network, no image, 1U footprint"
"18","61","Ubiquiti","ubiquiti-unifi-smartpower-rps","UniFi SmartPower RPS","1","network","both","device-types/Ubiquiti/USP-RPS.yaml","network, front+rear image, 1U footprint"
"19","57","MikroTik","mikrotik-css318-16g-2s-plus-in","CSS318-16G-2S+IN","1","network","single","device-types/MikroTik/CSS318-16G-2S+IN.yaml","network, single-side image, 1U footprint"
"20","61","APC","apc-ap4430a","AP4430A","1","power","both","device-types/APC/AP4430A.yaml","power, front+rear image, 1U footprint"
"21","52","Eaton","eaton-tripp-lite-pdumh20hvat","Tripp Lite PDUMH20HVAT","1","power","both","device-types/Eaton/Tripp-Lite-PDUMH20HVAT.yaml","power, front+rear image, 1U footprint"
"22","30","Vertiv","vertiv-acs8016dac","ACS8016DAC","1","power","none","device-types/Vertiv/ACS8016DAC.yaml","power, no image, 1U footprint"
"23","52","Dell","dell-powerswitch-n3248p-on","PowerSwitch N3248P-ON","1","network","both","device-types/Dell/PowerSwitch-N3248P-ON.yaml","network, front+rear image, 1U footprint"
"24","47","Supermicro","supermicro-sys-5018d-fn8t","SuperServer 5018D-FN8T","1","server","single","device-types/Supermicro/SYS-5018D-FN8T.yaml","server, single-side image, 1U footprint"
"25","51","HPE","hpe-aruba-2530-8g","Aruba 2530-8G","1","server","both","device-types/HPE/Aruba-2530-8G.yaml","server, front+rear image, 1U footprint"
"26","40","Netgear","netgear-jgs524","JGS524","1","network","none","device-types/Netgear/JGS524.yaml","network, no image, 1U footprint"
"27","43","Fortinet","fortinet-fs-1048e","FortiSwitch 1048E","1","network","both","device-types/Fortinet/FS-1048E.yaml","network, front+rear image, 1U footprint"
